clade_name	DN1	DN10	DN11	DN12	DN13	DN14	DN15	DN2	DN3	DN4	DN5	DN6	DN7	DN8	DN9	HN1	HN10	HN11	HN12	HN13	HN14	HN15	HN2	HN3	HN4	HN5	HN6	HN7	HN8	HN9
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	14	0	0	11	0	0	0	0	0	0	16
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Carnobacteriaceae___g__Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	14	0	0	11	0	0	0	0	0	0	16
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Enterococcaceae	0	0	0	0	12	0	0	83	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Enterococcaceae___g__Enterococcus	0	0	0	0	12	0	0	83	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Lactobacillaceae	0	0	39	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10	541	0	3	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Lactobacillaceae___g__Lactobacillus	0	0	39	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10	541	0	3	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Leuconostocaceae	0	0	7	0	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	2	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Leuconostocaceae___g__Leuconostoc	0	0	0	0	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Leuconostocaceae___g__Weissella	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Streptococcaceae	26	29	228	199	134	154	174	128	93	8	6	0	82	169	108	47	0	32	22	124	17	201	128	8	116	462	25	118	4	397
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Streptococcaceae___g__Lactococcus	0	0	3	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Streptococcaceae___g__Streptococcus	26	29	225	190	114	154	174	128	93	8	6	0	82	169	108	47	0	32	22	124	17	201	128	8	116	462	25	118	4	397
